name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
vancouver,2020-12-31T15:00:00,6.7,6,6.3,97.24,0.033,100,rain,0,0,,5.3,40,1018.8,99.4,4,27,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T16:00:00,6.4,4.9,6,97.25,15.571,100,rain,0,0,,7.3,87,1018.6,100,6,10,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T17:00:00,6.5,5,5.8,95.35,0,0,,0,0,,7.5,68,1018.7,95.8,13,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T18:00:00,6.5,4.7,5.7,94.68,0,0,,0,0,,9,52,1018.8,97.7,6,0,,0,,Overcast,cloudy,"71211099999,71775099999,71784099999,71892099999,CWMM,71042099999"
vancouver,2020-12-31T19:00:00,6.4,5,6,97.05,0.171,100,rain,0,0,,7.1,74,1018.8,100,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T20:00:00,6.7,5.6,6,95.33,0.04,100,rain,0,0,,6.4,83,1018.7,99.5,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T21:00:00,6.7,5.2,6.3,97.29,0.259,100,rain,0,0,,7.9,76,1018.1,99.4,5,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T22:00:00,6.7,4.9,6.3,97.32,0.638,100,rain,0,0,,8.9,87,1017.8,100,9,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T23:00:00,6.8,5.5,6.5,98.01,1.185,100,rain,0,0,,7.1,84,1017.6,99.6,10,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T00:00:00,6.8,5.2,6.4,97.6,1.377,100,rain,0,0,,8.1,61,1016.9,99.6,13,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T01:00:00,7,4.1,6.5,96.59,0.484,100,rain,0,0,,15.6,83,1015.9,100,5,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T02:00:00,7.2,4.8,6.4,94.13,0.473,100,rain,0,0,,13.4,77,1014.8,97.8,13,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T03:00:00,7.3,4.5,6.5,94.64,0.775,100,rain,0,0,31.3,15.2,71,1013.7,99.1,13,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T04:00:00,7.1,4,6.2,93.99,3.893,100,rain,0,0,,18.2,76,1012.9,100,16,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T05:00:00,7.2,4.5,6.4,94.8,1.615,100,rain,0,0,37.1,14.6,72,1012,99.5,16,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T06:00:00,7.3,4.5,6.1,91.82,1.358,100,rain,0,0,35.3,16,78,1011.6,99,16,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T07:00:00,6.9,4.1,6.2,95.31,0.037,100,rain,0,0,,15.6,74,1011.5,100,12,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T08:00:00,7,4.2,6.5,96.75,0.967,100,rain,0,0,,15.4,77,1010.9,99.4,6,4.2,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T09:00:00,7,4.2,6.3,95.36,0.639,100,rain,0,0,35.3,14.8,76,1010.5,99.4,3,5,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T10:00:00,7.4,3.6,6.6,95.14,2.558,100,rain,0,0,,24.2,56,1009.1,100,12,14,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T11:00:00,7.8,4.8,6.9,94.45,0.361,100,rain,0,0,32,17.8,81,1006.9,99.3,32,14,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T12:00:00,8,6.1,7,93.33,0.356,100,rain,0,0,31.3,10.7,78,1005.5,98.7,32,11,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T13:00:00,8.3,6.2,7,91.67,0.557,100,rain,0,0,,12.8,80,1003.5,100,30,13,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T14:00:00,8.4,6.5,7.6,94.7,2.22,100,rain,0,0,33.5,11.3,80,1002.8,98.9,24,11,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T15:00:00,8.7,6.6,8.3,97.4,1.039,100,rain,0,0,,13.1,59,1002.2,98.7,32,20,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T16:00:00,9.2,7.1,8.2,93.45,3.339,100,rain,0,0,,14.1,116,1002.6,100,30,11,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-01T17:00:00,8.8,6.8,7.4,90.83,0.085,100,rain,0,0,46.1,13,114,1003,98,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T18:00:00,9,7.4,7.4,89.54,0.003,100,rain,0,0,48.2,10.3,109,1004,93,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T19:00:00,8.3,6.9,6.7,90.19,0,0,,0,0,,8.3,110,1004.6,100,30,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T20:00:00,7.7,5.9,6.5,92.01,0,0,,0,0,35.3,10,86,1005.4,35.3,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T21:00:00,8.1,6.2,5.9,85.63,0,0,,0,0,37.1,11.2,105,1005.5,60,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T22:00:00,8.5,6.2,6.3,85.84,0,0,,0,0,,14.1,124,1006.1,90,30,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-01T23:00:00,8.1,6.4,6.9,92.17,0,0,,0,0,50,9.8,108,1006.5,98.9,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T00:00:00,8.5,6.3,7,90.21,0.007,100,rain,0,0,53.6,13.4,99,1006.6,99.3,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T01:00:00,8.3,6.2,6.9,91.16,0,0,,0,0,,12,96,1006.4,100,30,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
